epoch,train_kl,valid_kl,lr
1,0.7159234905565107,0.9849241825918679,0.001
2,0.6055920749390155,0.9633043389666802,0.0009896201103485576
3,0.5671152025461197,0.9038017068150235,0.0009589340923802353
4,0.54283694102811,0.7940395384291072,0.0009092830723281
5,0.5250371202130868,0.7950278968078854,0.0008428370380204576
6,0.5046840640704814,0.8024552553650681,0.0007624999999999999
7,0.49024692477992476,0.8078634517474307,0.0006717830723281
8,0.4758058739894731,0.7710583979539849,0.0005746510200521354
9,0.465230822105519,0.8297035322398131,0.0004753489799478647
10,0.45365189446058557,0.7830649570872387,0.0003782169276719001
11,0.4459806172319068,0.8365729329187745,0.00028750000000000016
12,0.4389119757481231,0.8348517992683215,0.0002071629619795425
13,0.4289667693124649,0.8324116559262261,0.00014071692767190003
