epoch,train_kl,valid_kl,lr
1,0.7221937559560276,0.9372607896041217,0.001
2,0.6080753731337549,0.8763496985911955,0.0009941519617826904
3,0.5715206102115733,0.8952393315295563,0.0009767518452401978
4,0.5452443268340545,0.8372426436133222,0.0009482280989894746
5,0.5270281644930381,0.9120136417712971,0.0009092830723281
6,0.510278990084652,0.90653355140239,0.00086087572106361
7,0.49980710992296296,0.838529414853748,0.0008041979948389247
8,0.4851874679418429,0.8897083838711735,0.0007406454873762847
9,0.4720939013855589,0.882705397196804,0.0006717830723281
10,0.4613528883347482,0.8555292844783837,0.0005993063708941097
11,0.44884857341860457,0.9429611551034965,0.000525
12,0.43440456270927785,0.8612382933382451,0.00045069362910589043
13,0.4250160892530209,0.9328009853668419,0.0003782169276719
