epoch,train_kl,valid_kl,lr
1,1.1006519902204286,1.3386951780574208,0.001
2,1.0268875794925079,1.24796607707911,0.001
3,1.0197686172435305,1.209871957805705,0.001
4,0.9746079893223398,1.1392861628596158,0.00019921541278079057
5,0.8319723084786196,1.0018469596849406,0.0001968740245322988
6,0.7571459363917915,0.9926525707391494,0.00019301276034588104
7,0.7141465118084287,0.8400128506084177,0.00018769251466436445
8,0.6624778499582419,0.8569884730134418,0.0001809971909403073
9,0.6328879295041888,0.9193300855032263,0.00017303237842843048
10,0.6082842726227841,0.968776114802947,0.00016392368697999466
11,0.5819411551465794,0.9294148468397518,0.00015381476610041016
12,0.5709186199802699,0.9560422229575601,0.00014286503951072474
