epoch,train_kl,valid_kl,lr
1,1.0990003389102725,1.203857983975487,0.001
2,1.03010784554412,1.183941682392263,0.001
3,1.005893218621568,1.2999805471795127,0.001
4,0.9622887628419059,1.0357368778098712,0.00019921541278079057
5,0.7290809880018929,0.7970276905253609,0.0001968740245322988
6,0.6385057846589269,0.7962875402866201,0.00019301276034588104
7,0.5729502609797886,0.7438048111962124,0.00018769251466436445
8,0.5456013336299808,0.727494510299063,0.0001809971909403073
9,0.5068978138550377,0.7762438186349716,0.00017303237842843048
10,0.4658344163404609,0.7383598123482842,0.00016392368697999466
11,0.43015346065728377,0.8271228471860529,0.00015381476610041016
12,0.41440803603250154,0.8620410743642618,0.00014286503951072474
13,0.39106892127511106,0.7673950440344963,0.00013124719094030727
