epoch,train_kl,valid_kl,lr
1,0.7457987653591872,1.0416100090829494,0.001
2,0.6092329201767746,0.9379609532619791,0.0009896201103485576
3,0.5746402612203148,0.9330035571560815,0.0009589340923802353
4,0.5548306262801767,0.9024840355908246,0.0009092830723281
5,0.529937887413602,1.0212725867965706,0.0008428370380204576
6,0.5173931436727733,0.8617372212954509,0.0007624999999999999
7,0.4973573634057369,0.8749139559236757,0.0006717830723281
8,0.48775614344765067,0.7932101748193856,0.0005746510200521354
9,0.5053238406977846,0.8932456807635817,0.0001
10,0.48785781299052217,0.878346473392513,9.092830723281001e-05
11,0.486761185286291,0.8971011838013375,6.717830723281e-05
