epoch,train_kl,valid_kl,lr
1,0.724027742210829,0.9874770550034296,0.001
2,0.6036533375093542,0.9766925346152282,0.0009941519617826904
3,0.524047484975651,0.997401523668273,0.0009767518452401978
4,0.5485803447130512,0.8613197635859251,0.0009482280989894746
5,0.5273751956858275,0.8848678082986562,0.0009092830723281
6,0.5072208897406826,0.7781122680408535,0.00086087572106361
7,0.4910180288955478,0.7907582817507195,0.0008041979948389247
8,0.47705398902205604,0.7799439291688212,0.0007406454873762847
9,0.4685773174211779,0.9003490108053809,0.0006717830723281
10,0.456687272935801,0.8341308629347218,0.0005993063708941097
11,0.4475085932174831,0.825353690928975,0.000525
