epoch,train_kl,valid_kl,lr
1,0.7138370745691541,1.0732064980806575,0.001
2,0.5984372026715542,0.9600895301576842,0.0009941519617826904
3,0.5586888539644838,0.9910902861896672,0.0009767518452401978
4,0.5381635115129573,0.8765322808751169,0.0009482280989894746
5,0.5234270347225154,0.8665485790252317,0.0009092830723281
6,0.5048481495346272,0.7921545616994945,0.00086087572106361
7,0.48868344096440236,0.8491535841912767,0.0008041979948389247
8,0.4807173142282022,0.9480195657097171,0.0007406454873762847
9,0.464565379183229,0.8110446354811206,0.0006717830723281
10,0.45298670108881467,0.9309662715359418,0.0005993063708941097
11,0.44975542394417684,0.7458484890456829,0.000525
12,0.4366289239323456,0.8645194119106933,0.00045069362910589043
13,0.4285340523671031,0.7688983810007756,0.0003782169276719
14,0.4256575769746718,0.869157152802304,0.00030935451262371525
15,0.41822898998887015,0.8320660667470944,0.0002458020051610753
16,0.4080789467826455,0.8229614971665504,0.00018912427893638992
