epoch,train_kl,valid_kl,lr
1,0.742151902771435,0.9885665743761225,0.001
2,0.625499321334445,1.011758773829098,0.0009941519617826904
3,0.5880710729426402,0.9538983786248683,0.0009767518452401978
4,0.5663213950480908,0.8798642920008228,0.0009482280989894746
5,0.5465209870189733,0.8804203056051959,0.0009092830723281
6,0.5336254291495419,0.9039251313797761,0.00086087572106361
7,0.5166819494499507,0.8744152399975761,0.0008041979948389247
8,0.5055925491702093,0.8335868256787459,0.0007406454873762847
9,0.49776781851650503,0.9025221558310735,0.0006717830723281
10,0.4847117851360688,0.8244428021120437,0.0005993063708941097
11,0.4772868152166924,0.8796929290725125,0.000525
12,0.4680189967216402,0.8257532011211655,0.00045069362910589043
13,0.45823569053399293,0.8338486917466386,0.0003782169276719
14,0.451198293631306,0.7752809831182714,0.00030935451262371525
15,0.44641682167360386,0.8254127590629605,0.0002458020051610753
16,0.4425235401633327,0.8090280429517598,0.00018912427893638992
17,0.43750548428248287,0.8402449628050772,0.0001407169276719
18,0.4348484995967284,0.8114724015978015,0.0001017719010105253
19,0.42965215921462924,0.8202715252848043,7.324815475980207e-05
