epoch,train_kl,valid_kl,lr
1,0.7138370745691541,1.0732064980806575,0.001
2,0.5984372026715542,0.9600895301576842,0.0009941519617826904
3,0.5586888539644838,0.9910902861896672,0.0009767518452401978
4,0.5381635115129573,0.8765322808751169,0.0009482280989894746
5,0.5234270347225154,0.8665485790252317,0.0009092830723281
6,0.5048481495346272,0.7921545616994945,0.00086087572106361
7,0.48868344096440236,0.8491535841912767,0.0008041979948389247
8,0.4807173142282022,0.9480195657097171,0.0007406454873762847
9,0.464565379183229,0.8110446354811206,0.0006717830723281
10,0.4531441324662821,0.8927287582687482,0.0005993063708941097
11,0.4376191402383621,0.8413010580338721,0.000525
12,0.4232740100237002,0.8202054613430835,0.00045069362910589043
13,0.4175648131162111,0.9131112314507733,0.0003782169276719
14,0.41177604836554615,0.8390695062741913,0.00030935451262371525
