epoch,train_kl,valid_kl,lr
1,0.7221444965566838,0.995978383715322,0.001
2,0.6045624461093563,1.0149211930283517,0.0009941519617826904
3,0.5657464986503246,0.9120434850431335,0.0009767518452401978
4,0.5392664821784189,0.8661840663142042,0.0009482280989894746
5,0.5235018876432641,0.8787884932057357,0.0009092830723281
6,0.5076794346112659,0.8138818056150167,0.00086087572106361
7,0.49516338496973666,0.7850539940121917,0.0008041979948389247
8,0.4796350944200664,0.8501473959121439,0.0007406454873762847
9,0.4701172977624983,0.9118738725011087,0.0006717830723281
10,0.458446574159317,0.8278863573285901,0.0005993063708941097
11,0.4468594849231541,0.8658733555564174,0.000525
