epoch,train_kl,valid_kl,lr
1,1.1040149499388303,1.198474443973379,0.001
2,0.9929579061620376,1.1780882718715262,0.001
3,0.9832553204368143,1.1236669966515074,0.001
4,0.9215662731843837,1.1141264704947775,4.9806810182204715e-05
5,0.9153536389855778,1.100309614171373,4.9230287447651464e-05
6,0.9146717583431917,1.1118354150589476,4.827952390426216e-05
7,0.8947210480185116,1.1031049261701869,4.696951366107466e-05
8,0.8999988015960244,1.0902522269715653,4.532091636218621e-05
9,0.9065554092912113,1.103142518946465,4.335973137182458e-05
