stage,epoch,noise,scale,time_shift_nonzero,left_right_flip,mixup,time_mask,channel_drop
stage1,1,1984,1984,1936,487,992,691,495
stage1,2,1984,1984,1946,510,1312,706,473
stage1,3,1984,1984,1946,491,1088,699,485
stage1,4,1984,1984,1941,506,1056,690,516
stage1,5,1984,1984,1931,504,1184,706,477
stage1,6,1984,1984,1956,494,1280,689,504
stage1,7,1984,1984,1953,513,1216,686,512
stage1,8,1984,1984,1936,469,1152,691,485
stage1,9,1984,1984,1941,504,1120,712,494
stage1,10,1984,1984,1945,502,1280,721,498
