epoch,train_kl,valid_kl,lr
1,0.7224527488335022,1.061452227719358,0.001
2,0.613982692696078,1.0280639533942313,0.0009941519617826904
3,0.5793212000394892,1.0070882921141606,0.0009767518452401978
4,0.5587256542561244,0.8546951153764019,0.0009482280989894746
5,0.5431607345496219,0.8677790233244499,0.0009092830723281
6,0.5262729452736294,0.8280118537813793,0.00086087572106361
7,0.5116572984340001,0.8396580392540789,0.0008041979948389247
8,0.5047754350981098,0.8289892758461245,0.0007406454873762847
9,0.49504783106605943,0.8319970659888637,0.0006717830723281
10,0.48478512816390135,0.8651353454355288,0.0005993063708941097
11,0.47629999026564734,0.8612747289539303,0.000525
