epoch,train_kl,valid_kl,lr
1,1.1642691185397487,1.281066007912159,0.0003
2,0.9558389734837317,1.2883373722434044,0.0002930255535720594
3,0.9567109529049166,1.2198499366641045,0.00027278492169842996
4,0.9179461290759425,1.2834057174623013,0.00024125939845167738
5,0.8922388995847395,1.2845132648944855,0.00020153492169843
6,0.8265574391811125,1.2194012254476547,0.00015749999999999998
7,0.7944951566957659,1.2296059802174568,0.00011346507830156999
8,0.7903049742021868,1.2990906462073326,7.374060154832258e-05
9,0.777975760159954,1.2530113086104393,4.2215078301569996e-05
10,0.7791120727216044,1.2297721430659294,2.1974446427940618e-05
